d1,Zx101,Zx102,Zx103,Zx104,Zx105,Zx106,Zx107,Zx108,Zx109,Zx110,Zx111,Zx112,Zx113,Zx114,Zx115,Zx116,Zx117,Zx118,Zx119,Zx120,Zx121,Zx122,Zx123,Zx124,Zx125,Zx126,Zx127,Zx128,Zx129,Zx130,Zx131,y3
2014年11月,0.800141,-0.198753,1.070933,-0.378043,0.344845,0.038048,0.510931,0.543109,1.10074,0.926943,0.667177,0.985454,0.093184,-0.50321,0.918751,1.222869,0.931865,1.920064,-1.358989,1.951725,1.886744,-0.473812,0.746025,2.486362,-0.37485,0.604962,0.409145,0.796068,0.994634,1.378606,-0.557637,1975946
2014年12月,1.315314,0.748669,1.211483,0.860038,0.150956,-0.771496,1.419949,0.937394,1.517,1.903875,5.791427,0.929595,4.632437,0.579425,1.745222,1.311713,1.448858,2.853594,-1.822062,1.71015,1.356462,-0.125604,1.315398,2.804857,-0.280494,1.147637,0.324882,0.356791,1.690517,1.139008,0.428781,1638809
2015年1月,2.023677,-0.548887,0.563729,0.532998,0.372544,-0.545032,1.231876,0.867814,0.285856,0.58416,0.540214,1.041314,0.251346,-0.034399,0.819325,0.837877,1.410562,1.540324,-1.3204,1.790675,1.271616,-0.287272,1.446792,1.987587,-0.554984,0.686876,0.416167,0.517859,1.090617,0.991564,-0.584297,1669605
2015年2月,2.030577,-0.075176,0.840756,0.642011,0.511036,-0.341995,1.733404,1.215713,-0.213304,1.509674,0.543223,0.734087,0.077368,-0.147629,1.788721,0.637155,1.88926,1.366276,-0.70297,0.643194,1.674631,0.135553,0.921217,0.202815,0.285641,0.082766,0.774286,0.678928,1.330577,1.139008,0.242161,1898634
2015年3月,1.487805,-0.466502,0.199113,0.392838,-0.098329,-0.558047,1.325913,0.867814,-0.082782,0.926943,0.791132,0.706157,0.314611,0.539695,2.09321,0.564764,1.554171,1.429566,-1.166042,0.74385,0.911025,0.632993,1.563587,-0.055586,0.495797,0.963332,0.907703,0.459289,0.586702,0.963918,1.788438,1457644
2015年4月,0.552521,-0.188455,0.529101,1.591985,-0.070631,0.183818,1.576676,1.903779,-0.200076,1.132613,0.665372,0.482719,0.282978,0.245695,2.422556,0.587797,1.582893,0.654262,-0.895917,1.790675,0.932236,1.615439,1.439492,0.42516,0.384286,0.779028,1.574787,0.532502,1.138609,1.102147,0.93532,1632682
2015年5月,0.282668,-1.207963,0.806128,-0.370256,-0.707694,-0.677787,0.918422,0.713192,-0.210659,0.961221,0.492077,-0.494822,-0.302221,0.515857,1.645797,0.031699,0.778681,-0.374203,-1.667704,0.462012,0.147418,1.155306,0.986914,0.52131,-0.554984,0.686876,1.848642,0.049297,0.106782,1.083717,0.7487,1690971
2015年6月,0.863004,-0.837233,0.005602,-0.175589,-0.181425,-0.227462,1.231876,0.867814,-0.14187,0.97836,0.608209,-0.271384,0.116908,2.236154,0.04878,0.239002,1.123344,0.053005,-1.474757,0.562669,0.401954,2.088007,1.351896,0.383095,-0.529251,1.065724,2.269959,1.015707,0.130778,1.221946,0.508761,1435287
2015年7月,2.209201,0.604496,0.742982,0.400624,0.566432,0.384251,2.51704,1.455376,0.048623,2.178101,1.171419,0.678227,0.203897,1.481289,1.453161,0.489082,2.042443,2.062467,0.454711,1.971857,2.014011,1.926339,1.833674,1.362617,-0.422028,0.983811,2.389331,2.245684,1.522545,1.553696,1.06862,1757189
2015年8月,2.406991,2.035927,0.559655,0.190384,0.843416,1.133925,2.297622,1.594536,0.057442,2.298075,0.990301,1.097173,0.591395,0.714506,0.949821,1.018856,1.975425,1.571969,-0.70297,1.891332,2.353392,4.152387,2.169458,1.488813,-0.306228,1.137398,2.045257,2.641033,1.210597,1.535265,0.295481,2095055
2015年9月,1.541469,0.017507,0.233741,-0.510416,0.067861,0.319175,0.197476,0.852352,-0.047505,1.201169,0.422277,0.873735,0.259254,0.056979,0.539692,0.660189,1.046752,0.923245,-1.551936,0.42175,0.911025,3.207249,1.001513,0.79173,-0.615029,0.482093,1.216668,0.708213,-0.42113,1.092932,0.482101,1573010
2015年10月,0.766409,-1.269751,1.21352,-0.650577,-0.347615,-0.178004,0.072095,0.805965,0.071552,0.926943,0.389784,0.147562,0.156449,-0.35621,1.22324,0.337718,0.740386,0.448569,-1.011685,0.039256,0.317109,1.727363,0.351843,1.110225,0.808888,0.789267,0.907703,0.137152,-0.661089,0.84412,0.375461,1817364
2015年11月,0.110944,-0.569483,1.987566,-0.798523,-0.458409,-0.287332,-0.147324,0.620419,0.100655,1.029778,0.336231,-0.159665,0.725832,-0.501223,1.596085,0.686513,0.453167,1.872597,-1.166042,0.623062,0.592855,1.839287,0.191251,1.476794,6.118552,0.99405,0.563628,0.23965,-1.045025,1.1943,0.58874,1727024
2015年12月,0.327132,0.192574,2.865496,-0.471483,-0.26452,-0.59449,-0.210015,0.76731,0.23206,1.629648,0.729756,-0.075876,0.480681,-0.346278,2.105638,0.466048,0.769107,2.347273,-1.397579,0.784112,0.911025,1.167742,0.337244,3.676211,3.309319,4.332009,0.654913,0.18108,-0.661089,1.314099,0.77536,1656885
